id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
5432,jawa,jawa barat,product consultant,PT Propan Raya ICC,1,0 - 4 tahun,14,Bahan Kimia/Pupuk/Pestisida,51 - 200 pekerja,sabtu,formal,kemeja polos & dasi,"kesehatan, umum",indonesia,jobstreet,tidak dicantumkan
5433,jawa,dki jakarta,dealer equity,Ajaib (YC S18),2,0 - 4 tahun,10,Jual Beli Saham/Sekuritas,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,indonesia,jobstreet,d3
5434,tidak diketahui,tidak diketahui,sales & marketing,SCG,2,0 - 4 tahun,14,Manufaktur/Produksi,2001 - 5000 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",inggris,jobstreet,s1
5435,jawa,banten,collection head,PT Pendanaan Teknologi Nusa,5,5 - 9 tahun,14,Perbankan/Pelayanan Keuangan,51 - 200 pekerja,senin - jumat,bisnis,kemeja,bpjs kesehatan,inggris,jobstreet,s1
5436,jawa,dki jakarta,lead qa manual,Shipper,3,0 - 4 tahun,14,Transportasi/Logistik,501 - 1000 pekerja,senin - jumat,kasual,kaos,"makan, asuransi",indonesia,jobstreet,tidak dicantumkan
5437,jawa,dki jakarta,general manager retail supermarket,PT Mutiara Indah Anugrah,5,5 - 9 tahun,14,Konstruksi/Bangunan/Teknik,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,bpjs kesehatan,indonesia,jobstreet,tidak dicantumkan
5438,jawa,jawa barat,spg,PT Krisson Indonesia,1,0 - 4 tahun,14,Pelayanan Arsitek/Desain Interior,51 - 200 pekerja,senin - sabtu,semi formal,kemeja motif,bpjs kesehatan,indonesia,jobstreet,tidak dicantumkan
5439,jawa,jawa barat,sales supervisor,PT Novell Pharmaceutical Laboratories,1,0 - 4 tahun,tidak tersedia,BioTeknologi/Farmasi/Riset klinik,2001 - 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata","indonesia, inggris",jobstreet,tidak dicantumkan
5440,jawa,dki jakarta,it business analyst,PT Asuransi Tokio Marine Indonesia,3,0 - 4 tahun,14,Asuransi,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s1
5441,jawa,banten,sales engineer,PT Kruger Ventilation Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s1
