id_loker,provinsi,pendidikan
703,banten,TIDAK DICANTUMKAN
704,dki jakarta,S1
705,dki jakarta,S1
706,banten,S1
707,jawa timur,D3
707,jawa timur,S1
708,jawa barat,S1
709,dki jakarta,D3
709,dki jakarta,S1
709,dki jakarta,S2
709,dki jakarta,S3
710,dki jakarta,D3
710,dki jakarta,S1
711,dki jakarta,S1
712,dki jakarta,PROFESI
712,dki jakarta,S1
713,jawa barat,S1
714,dki jakarta,D3
714,dki jakarta,S1
715,dki jakarta,S1
716,tidak diketahui,D3
717,dki jakarta,PROFESI
717,dki jakarta,S1
718,dki jakarta,S1
719,dki jakarta,D3
720,dki jakarta,S1
721,dki jakarta,S1
722,dki jakarta,D3
723,dki jakarta,S1
724,dki jakarta,PROFESI
725,tidak diketahui,S1
726,jawa timur,S1
727,kalimantan timur,S1
728,banten,S1
729,dki jakarta,S1
730,tidak diketahui,S1
731,dki jakarta,TIDAK DICANTUMKAN
732,dki jakarta,TIDAK DICANTUMKAN
